policy,task,instance_id,q,success,simulator_steps,cell_status
stock,turning_on_radio,311,1.0,True,2009,complete
stock,turning_on_radio,312,0.0,False,3225,complete
stock,turning_on_radio,313,1.0,True,2315,complete
stock,turning_on_radio,314,0.0,False,3225,complete
stock,turning_on_radio,315,0.0,False,3225,complete
stock,turning_on_radio,316,0.0,False,3225,complete
stock,turning_on_radio,317,0.0,False,3225,complete
stock,turning_on_radio,318,0.0,False,3225,complete
stock,turning_on_radio,319,1.0,True,2017,complete
stock,turning_on_radio,320,0.0,False,3225,complete
stock,picking_up_trash,311,0.0,False,7902,complete
stock,picking_up_trash,312,0.6666666666666666,False,7902,complete
stock,picking_up_trash,313,0.6666666666666666,False,7902,complete
stock,picking_up_trash,314,0.6666666666666666,False,7902,complete
stock,picking_up_trash,315,0.6666666666666666,False,7902,complete
stock,picking_up_trash,316,0.6666666666666666,False,7902,complete
stock,picking_up_trash,317,0.0,False,7902,complete
stock,picking_up_trash,318,0.0,False,7902,complete
stock,picking_up_trash,319,0.0,False,7902,complete
stock,picking_up_trash,320,1.0,True,5235,complete
stock,putting_shoes_on_rack,311,0.2,False,11590,complete
stock,putting_shoes_on_rack,312,0.7,False,11590,complete
stock,putting_shoes_on_rack,313,0.2,False,11590,complete
stock,putting_shoes_on_rack,314,0.2,False,11590,complete
stock,putting_shoes_on_rack,315,0.7,False,11590,complete
stock,putting_shoes_on_rack,316,0.7,False,11590,complete
stock,putting_shoes_on_rack,317,0.4,False,11590,complete
stock,putting_shoes_on_rack,318,0.5,False,11590,complete
stock,putting_shoes_on_rack,319,1.0,True,8752,complete
stock,putting_shoes_on_rack,320,0.2,False,11590,complete
balanced,turning_on_radio,311,1.0,True,1385,complete
balanced,turning_on_radio,312,0.0,False,3225,complete
balanced,turning_on_radio,313,0.0,False,3225,complete
balanced,turning_on_radio,314,0.0,False,3225,complete
balanced,turning_on_radio,315,0.0,False,3225,complete
balanced,turning_on_radio,316,0.0,False,3225,complete
balanced,turning_on_radio,317,0.0,False,3225,complete
balanced,turning_on_radio,318,1.0,True,1743,complete
balanced,turning_on_radio,319,0.0,False,3225,complete
balanced,turning_on_radio,320,0.0,False,3225,complete
balanced,picking_up_trash,311,0.0,False,7902,complete
balanced,picking_up_trash,312,0.6666666666666666,False,7902,complete
balanced,picking_up_trash,313,0.0,False,7902,complete
balanced,picking_up_trash,314,0.0,False,7902,complete
balanced,picking_up_trash,315,0.0,False,7902,complete
balanced,picking_up_trash,316,0.0,False,7902,complete
balanced,picking_up_trash,317,0.6666666666666666,False,7902,complete
balanced,picking_up_trash,318,0.6666666666666666,False,7902,complete
balanced,picking_up_trash,319,0.0,False,7902,complete
balanced,picking_up_trash,320,0.3333333333333333,False,7902,complete
balanced,putting_shoes_on_rack,311,0.2,False,11590,complete
balanced,putting_shoes_on_rack,312,0.1,False,11590,complete
balanced,putting_shoes_on_rack,313,0.1,False,11590,complete
balanced,putting_shoes_on_rack,314,0.3,False,11590,complete
balanced,putting_shoes_on_rack,315,0.0,False,11590,complete
balanced,putting_shoes_on_rack,316,0.6,False,11590,complete
balanced,putting_shoes_on_rack,317,0.1,False,11590,complete
balanced,putting_shoes_on_rack,318,0.2,False,11590,complete
balanced,putting_shoes_on_rack,319,0.8,False,11590,complete
balanced,putting_shoes_on_rack,320,0.1,False,11590,complete
meta,turning_on_radio,311,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,312,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,313,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,314,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,315,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,316,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,317,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,318,1.0,True,1926,evaluator_complete_workflow_failed
meta,turning_on_radio,319,0.0,False,3225,evaluator_complete_workflow_failed
meta,turning_on_radio,320,1.0,True,1763,evaluator_complete_workflow_failed
meta,picking_up_trash,311,0.0,False,7902,cutoff_prefix
meta,picking_up_trash,312,0.6666666666666666,False,7902,cutoff_prefix
meta,picking_up_trash,313,0.0,False,7902,cutoff_prefix
meta,picking_up_trash,314,1.0,True,5494,cutoff_prefix
meta,picking_up_trash,315,1.0,True,3946,cutoff_prefix
meta,picking_up_trash,316,0.6666666666666666,False,7902,cutoff_prefix
