task_id,task,instance_id,q,success,simulator_steps,metric_sha256,collection_receipt_sha256
0,turning_on_radio,311,1.0,True,2800,b05fd3f97a43c5cd9f12927a649bbbfc041900a681864965b9650030add2d212,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,312,0.0,False,3225,ef0f9668ffe71f993266453cd3d53e60d23116ea9e3a5e6de7350842a0b7400e,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,313,0.0,False,3225,b737779c774e5969653d723a6c558debc97e73ad129179e22dce084e92073860,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,314,0.0,False,3225,f714e901c8522e77d7f269870ad3d60a238f4841835a47433dbab89e53219bd2,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,315,0.0,False,3225,e013d095565e01a4631711ab2fbc89d4271a77b523778ba4e31ffee75c63cbf0,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,316,0.0,False,3225,103e92ca85a80cd4e79a5514711ed106b948c21b23f082452f20472f1c1471c8,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,317,0.0,False,3225,506637817cb309cf5e4ef379a4ac3cd6dda2ce06506e27a2954d808926b32831,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,318,1.0,True,2253,f066f1b6e74b2d8689450c687c02a6bb3c8f544bf2e2c6f2c8be9896e8afdbad,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,319,1.0,True,1639,6ee0c0c7e4d7306f8d86b7d85fbeb40ce822a520723b6b7c2248fe5e9e3ef590,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
0,turning_on_radio,320,1.0,True,2380,f19472070d5da009192ce7d6818abb495b91c7ad17d7a6d7d080c729e78eba02,47fda48264663cd330e45f14f36b0282a6334aa43e78613fe90fc940f3de4623
1,picking_up_trash,311,0.0,False,7902,4e0a1cb9b5660c9a962763ff2400896c68fc3dc09800ad611adceb0ae9369b17,fb209833dfd7c91708ec406791147f7d74a576c455f5db2e9fd209e1e9e9e82d
1,picking_up_trash,312,0.6666666666666666,False,7902,ce3cbdb4c68c41f6ce4d06f2b7a0e91dd1e8f5154fdda8612b4d6465201500c0,fb209833dfd7c91708ec406791147f7d74a576c455f5db2e9fd209e1e9e9e82d
1,picking_up_trash,313,0.0,False,7902,43d8cd6e68b25367998edccd1f3e97c75f648aedb3e4d36333c6090a250522a0,fb209833dfd7c91708ec406791147f7d74a576c455f5db2e9fd209e1e9e9e82d
1,picking_up_trash,314,0.3333333333333333,False,7902,73c3b0d4e522665dd92ebf750bd1704503fbd9257e5ca0eac19830d2358b7ac3,fb209833dfd7c91708ec406791147f7d74a576c455f5db2e9fd209e1e9e9e82d
1,picking_up_trash,315,0.3333333333333333,False,7902,54b8a5ae216dc0ffdfa55f73a810f6390a12967117278fddc1ebf251588b273c,fb209833dfd7c91708ec406791147f7d74a576c455f5db2e9fd209e1e9e9e82d
