unix_seconds,monotonic_seconds,sectors_read,sectors_written,io_milliseconds,sector_bytes
1790417260.6222656,25608.895540507,73209652,830456504,1064014,512
1790417261.6225948,25609.89586982,73209652,830456504,1064014,512
1790417262.6229913,25610.896266467,73209652,830456504,1064014,512
1790417263.6233962,25611.896671586,73209652,830456504,1064014,512
1790417264.623797,25612.897072038,73209652,830457736,1064017,512
1790417265.6242356,25613.897510682,73209652,830457744,1064019,512
1790417266.624646,25614.89792104,73209652,830457744,1064019,512
1790417267.6251934,25615.89846846,73209652,830463576,1064048,512
1790417268.6255982,25616.898873076,73209652,830463576,1064048,512
1790417269.626157,25617.899432566,73209652,830463576,1064048,512
1790417270.6265068,25618.899781635,73209652,830464808,1064052,512
1790417271.6269014,25619.900176454,73209652,830464808,1064052,512
1790417272.6272311,25620.900506514,73209652,830464808,1064052,512
1790417273.627573,25621.900848313,73209652,830465056,1064055,512
1790417274.627963,25622.90123815,73209652,830469184,1064067,512
1790417275.6283343,25623.901609671,73209652,830469232,1064070,512
1790417276.6286848,25624.901959665,73209652,830469232,1064070,512
1790417277.6290467,25625.902322038,73209652,830470472,1064074,512
1790417278.629374,25626.902648914,73209652,830470472,1064074,512
1790417279.6297631,25627.903038136,73209652,830470488,1064075,512
1790417280.6301055,25628.903380683,73209652,830470512,1064077,512
1790417281.6304326,25629.903707426,73209652,830470512,1064077,512
1790417282.6308234,25630.90409845,73209652,830470544,1064079,512
1790417283.631169,25631.904444116,73209652,830471776,1064083,512
1790417284.6315155,25632.904790296,73209652,830471776,1064083,512
1790417285.6319275,25633.905202451,73209652,830471776,1064083,512
1790417286.6322765,25634.905551479,73209652,830471776,1064083,512
1790417287.6326313,25635.905906274,73209652,830471776,1064083,512
1790417288.633049,25636.906324186,73209652,830471776,1064083,512
1790417289.6333985,25637.906673385,73209652,830471784,1064086,512
1790417290.6337764,25638.907051651,73209652,830473016,1064090,512
1790417291.6340916,25639.907366337,73209652,830473016,1064090,512
1790417292.6344666,25640.907741797,73209652,830473016,1064090,512
1790417293.6348567,25641.908131944,73209652,830473016,1064090,512
1790417294.6351955,25642.908470405,73209652,830475536,1064132,512
1790417295.6355689,25643.908844024,73209652,830475536,1064132,512
1790417296.6359649,25644.909240332,73209652,830475544,1064134,512
1790417297.6362975,25645.909572266,73209652,830476784,1064139,512
1790417298.6366625,25646.909937491,73209652,830480424,1064144,512
1790417299.6370764,25647.910351677,73209652,830480424,1064144,512
1790417300.6374142,25648.910689263,73209652,830480424,1064144,512
1790417301.6379058,25649.91118093,73209652,830482280,1064176,512
1790417302.6382806,25650.911555886,73209652,830482280,1064176,512
1790417303.638616,25651.911891057,73209652,830483512,1064180,512
1790417304.6389441,25652.912219214,73209652,830483512,1064180,512
1790417305.6393087,25653.912584075,73209652,830483776,1064185,512
1790417306.6396716,25654.912946727,73209652,830483776,1064185,512
1790417307.6400766,25655.913351732,73209652,830483776,1064185,512
1790417308.640445,25656.913720158,73209652,830483776,1064185,512
1790417309.640868,25657.914143078,73209652,830483776,1064185,512
1790417310.641215,25658.914490044,73209652,830485216,1064192,512
1790417311.6415408,25659.914815849,73209652,830485424,1064195,512
1790417312.6419582,25660.915233565,73209652,830485424,1064195,512
1790417313.6422863,25661.915561231,73209652,830485424,1064195,512
1790417314.642613,25662.915887864,73209652,830485424,1064195,512
1790417315.6429582,25663.916233041,73209652,830485424,1064195,512
1790417316.6432924,25664.916567498,73209652,830485424,1064195,512
1790417317.6436586,25665.916933826,73209652,830486656,1064199,512
1790417318.6440244,25666.917299418,73209652,830486656,1064199,512
1790417319.644549,25667.917824047,73209652,830486656,1064199,512
1790417320.6449635,25668.918238738,73209652,830486696,1064200,512
1790417321.6453238,25669.918598849,73209652,830486696,1064200,512
1790417322.6458657,25670.919140841,73209652,830486696,1064200,512
1790417323.6462498,25671.919524787,73209652,830552856,1064219,512
1790417324.64663,25672.919905193,73209652,830552856,1064219,512
1790417325.6470318,25673.92030669,73209652,830552856,1064219,512
1790417326.6474154,25674.920690114,73209652,830552856,1064219,512
1790417327.6477926,25675.921067616,73209652,830552872,1064224,512
1790417328.648154,25676.921429281,73209652,830552872,1064224,512
1790417329.6485384,25677.921813209,73209652,830622192,1064238,512
1790417330.6490872,25678.922362138,73209652,830622232,1064240,512
1790417331.6494768,25679.922752139,73209652,830622232,1064240,512
1790417332.6499546,25680.923229577,73209652,832213016,1064958,512
1790417333.650388,25681.923662942,73209652,833129456,1065953,512
1790417334.6507797,25682.9240549,73209652,834048248,1066953,512
1790417335.6510332,25683.924307975,73209652,834961104,1067946,512
1790417336.6514087,25684.924683651,73209652,835878432,1068937,512
1790417337.6517947,25685.925069635,73209652,836795408,1069931,512
1790417338.6522343,25686.925509099,73209652,837711872,1070926,512
1790417339.652648,25687.92592296,73209652,838627824,1071921,512
1790417340.6530688,25688.926343648,73209652,839542768,1072915,512
1790417341.6533787,25689.926653714,73209652,840461728,1073912,512
1790417342.6536922,25690.926967232,73209652,841377152,1074908,512
1790417343.654121,25691.927395896,73209652,842292296,1075895,512
1790417344.654436,25692.92771119,73209652,843208448,1076892,512
1790417345.7132413,25693.986515886,73209652,844177216,1077943,512
1790417346.753691,25695.026966188,73209652,845129664,1078976,512
1790417347.7539945,25696.027269444,73209652,846045336,1079972,512
1790417348.7542872,25697.027562431,73209652,846962088,1080969,512
1790417349.7545977,25698.027872571,73209652,847878272,1081962,512
1790417350.754929,25699.028204262,73209652,848795976,1082958,512
1790417351.7552369,25700.028511764,73209652,849714720,1083954,512
1790417352.7556233,25701.028898452,73209652,850629864,1084944,512
1790417353.755966,25702.029240768,73209652,851547568,1085942,512
1790417354.756312,25703.029586224,73209652,852465448,1086937,512
1790417355.756763,25704.030037559,73209652,853383704,1087931,512
1790417356.7570448,25705.030319588,73209652,854300864,1088927,512
1790417357.7574635,25706.030738234,73209652,855217048,1089922,512
1790417358.7577717,25707.03104618,73209652,856134848,1090920,512
1790417359.7580445,25708.031319153,73209652,857052232,1091917,512
1790417360.7583807,25709.031655201,73209652,857968960,1092913,512
1790417361.7586563,25710.031930937,73209652,858884680,1093907,512
1790417362.7590847,25711.032359462,73209652,859804952,1094905,512
1790417363.7594244,25712.032699396,73209652,860720608,1095900,512
1790417364.7597053,25713.032980029,73209652,861637296,1096889,512
1790417365.7600932,25714.033367796,73209652,862554520,1097884,512
1790417366.7604213,25715.033696453,73209652,863472344,1098877,512
1790417367.7608275,25716.034102866,73209652,864388000,1099870,512
1790417368.7612412,25717.034516061,73209652,865306232,1100868,512
1790417369.7616532,25718.034928405,73209652,866223936,1101860,512
1790417370.7619994,25719.035274256,73209652,867140512,1102857,512
1790417371.7623725,25720.035647317,73209652,868055400,1103849,512
1790417372.762756,25721.036030807,73209652,868972648,1104843,512
1790417373.763166,25722.036441051,73209652,869891392,1105843,512
1790417374.7634947,25723.036769682,73209652,870808904,1106839,512
1790417375.7638283,25724.037103063,73209652,871725592,1107833,512
1790417376.7642808,25725.037555915,73209652,872640792,1108829,512
1790417377.7645917,25726.03786664,73209652,873556712,1109822,512
1790417378.7649102,25727.038185413,73209652,874473104,1110818,512
1790417379.7652946,25728.03856949,73209652,875389000,1111814,512
1790417380.765606,25729.038880891,73209652,876304008,1112811,512
1790417381.7661326,25730.039407702,73209652,877220720,1113806,512
1790417382.7664897,25731.039764981,73209652,878138920,1114799,512
1790417383.7668214,25732.04009635,73209652,879055080,1115792,512
1790417384.767097,25733.040371984,73209652,879970760,1116786,512
1790417385.7673762,25734.040651044,73209652,880886600,1117781,512
1790417386.8009772,25735.074252039,73209652,881832552,1118806,512
1790417387.8013735,25736.07464835,73209652,882750256,1119800,512
1790417388.801822,25737.075096857,73209652,883668456,1120796,512
1790417389.802241,25738.075516144,73209652,884584728,1121792,512
1790417390.802485,25739.075759304,73209652,885502800,1122790,512
1790417391.802806,25740.076080626,73209652,886418672,1123783,512
1790417392.803149,25741.076423713,73209652,887337672,1124777,512
