unix_seconds,gpu_index,memory_used_mib,utilization_percent,power_watts
1790417262.618,0,59951.0,0.0,699.2
1790417262.618,1,57297.0,0.0,693.71
1790417262.618,2,57189.0,0.0,701.06
1790417262.618,3,57517.0,0.0,667.58
1790417262.618,4,58145.0,0.0,715.4
1790417262.639,5,57499.0,0.0,657.58
1790417262.64,6,57339.0,0.0,650.04
1790417262.64,7,57319.0,0.0,686.18
1790417263.64,0,59951.0,95.0,335.99
1790417263.64,1,57297.0,47.0,309.6
1790417263.64,2,57189.0,95.0,343.1
1790417263.64,3,57517.0,93.0,348.7
1790417263.64,4,58145.0,0.0,261.39
1790417263.64,5,57499.0,95.0,342.29
1790417263.64,6,57339.0,95.0,316.6
1790417263.64,7,57319.0,69.0,333.04
1790417264.64,0,59951.0,100.0,786.9
1790417264.64,1,57297.0,100.0,790.52
1790417264.64,2,57189.0,100.0,775.33
1790417264.64,3,57517.0,100.0,751.33
1790417264.64,4,58145.0,100.0,829.95
1790417264.64,5,57499.0,84.0,787.19
1790417264.64,6,57339.0,100.0,825.04
1790417264.64,7,57319.0,100.0,756.82
1790417265.64,0,59951.0,0.0,863.68
1790417265.648,1,57297.0,100.0,847.94
1790417265.648,2,57189.0,100.0,854.66
1790417265.648,3,57517.0,21.0,848.7
1790417265.648,4,58145.0,100.0,890.67
1790417265.649,5,57499.0,0.0,826.29
1790417265.649,6,57339.0,0.0,840.55
1790417265.649,7,57319.0,100.0,860.41
1790417266.649,0,59951.0,46.0,231.03
1790417266.651,1,57297.0,0.0,207.42
1790417266.651,2,57189.0,0.0,211.53
1790417266.651,3,57517.0,0.0,209.1
1790417266.651,4,58145.0,0.0,203.55
1790417266.651,5,57499.0,34.0,217.82
1790417266.651,6,57339.0,0.0,221.44
1790417266.651,7,57319.0,0.0,193.88
1790417267.652,0,59951.0,100.0,750.06
1790417267.652,1,57297.0,99.0,759.43
1790417267.652,2,57189.0,64.0,789.64
1790417267.652,3,57517.0,100.0,782.17
1790417267.652,4,58145.0,64.0,747.85
1790417267.652,5,57499.0,100.0,788.5
1790417267.652,6,57339.0,100.0,804.59
1790417267.652,7,57319.0,99.0,753.12
1790417268.652,0,59951.0,100.0,982.88
1790417268.652,1,57297.0,100.0,980.87
1790417268.652,2,57189.0,100.0,975.96
1790417268.652,3,57517.0,100.0,961.33
1790417268.652,4,58145.0,100.0,978.85
1790417268.652,5,57499.0,100.0,964.78
1790417268.652,6,57339.0,100.0,954.2
1790417268.652,7,57319.0,100.0,987.14
1790417269.652,0,59951.0,0.0,260.94
1790417269.653,1,57297.0,0.0,224.25
1790417269.653,2,57189.0,0.0,257.61
1790417269.653,3,57517.0,0.0,212.29
1790417269.653,4,58145.0,0.0,271.23
1790417269.653,5,57499.0,0.0,212.86
1790417269.653,6,57339.0,0.0,221.6
1790417269.653,7,57319.0,0.0,252.27
1790417270.653,0,59951.0,95.0,523.22
1790417270.653,1,57297.0,95.0,464.19
1790417270.653,2,57189.0,94.0,530.71
1790417270.653,3,57517.0,95.0,486.35
1790417270.653,4,58145.0,95.0,446.83
1790417270.653,5,57499.0,94.0,495.37
1790417270.653,6,57339.0,95.0,454.46
1790417270.653,7,57319.0,95.0,462.05
1790417271.653,0,59951.0,100.0,782.95
1790417271.653,1,57297.0,100.0,834.47
1790417271.653,2,57189.0,86.0,790.35
1790417271.653,3,57517.0,100.0,841.09
1790417271.654,4,58145.0,85.0,847.11
1790417271.654,5,57499.0,100.0,853.57
1790417271.654,6,57339.0,100.0,889.19
1790417271.654,7,57319.0,100.0,825.72
1790417272.654,0,59951.0,0.0,690.68
1790417272.654,1,57297.0,0.0,650.41
1790417272.654,2,57189.0,0.0,668.0
1790417272.654,3,57517.0,0.0,641.86
1790417272.654,4,58145.0,0.0,692.46
1790417272.654,5,57499.0,0.0,632.43
1790417272.654,6,57339.0,0.0,627.72
1790417272.654,7,57319.0,0.0,662.39
1790417273.654,0,59951.0,85.0,354.23
1790417273.654,1,57297.0,94.0,340.46
1790417273.654,2,57189.0,94.0,361.58
1790417273.654,3,57517.0,95.0,344.76
1790417273.654,4,58145.0,6.0,303.23
1790417273.654,5,57499.0,95.0,323.54
1790417273.654,6,57339.0,95.0,341.95
1790417273.654,7,57319.0,95.0,320.89
1790417274.655,0,59951.0,88.0,780.97
1790417274.655,1,57297.0,100.0,802.99
1790417274.655,2,57189.0,100.0,789.97
1790417274.655,3,57517.0,100.0,811.85
1790417274.655,4,58145.0,100.0,819.65
1790417274.655,5,57499.0,87.0,844.62
1790417274.655,6,57339.0,86.0,830.93
1790417274.655,7,57319.0,100.0,789.69
1790417275.655,0,59951.0,0.0,852.96
1790417275.655,1,57297.0,2.0,830.69
1790417275.655,2,57189.0,85.0,848.41
1790417275.655,3,57517.0,0.0,811.93
1790417275.655,4,58145.0,100.0,846.61
1790417275.655,5,57499.0,0.0,804.87
1790417275.655,6,57339.0,0.0,809.02
1790417275.655,7,57319.0,30.0,840.52
1790417276.656,0,59951.0,55.0,238.43
1790417276.656,1,57297.0,0.0,234.01
1790417276.656,2,57189.0,0.0,251.16
1790417276.656,3,57517.0,0.0,219.51
1790417276.656,4,58145.0,0.0,204.45
1790417276.656,5,57499.0,86.0,250.15
1790417276.656,6,57339.0,1.0,226.07
1790417276.656,7,57319.0,0.0,221.78
1790417277.656,0,59951.0,100.0,729.48
1790417277.656,1,57297.0,99.0,736.33
1790417277.656,2,57189.0,100.0,735.22
1790417277.656,3,57517.0,99.0,757.95
1790417277.656,4,58145.0,99.0,735.82
1790417277.656,5,57499.0,100.0,741.19
1790417277.656,6,57339.0,100.0,775.88
1790417277.656,7,57319.0,99.0,725.03
1790417278.656,0,59951.0,100.0,983.35
1790417278.657,1,57297.0,100.0,978.57
1790417278.657,2,57189.0,100.0,973.38
1790417278.657,3,57517.0,100.0,979.76
1790417278.657,4,58145.0,100.0,978.58
1790417278.657,5,57499.0,100.0,973.25
1790417278.657,6,57339.0,100.0,964.69
1790417278.657,7,57319.0,100.0,973.43
