step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
52,13.19,4.3453,910669,2.997,3.113,3.036,3.154
53,13.19,4.2087,914725,2.984,3.059,3.022,3.101
54,13.34,3.8011,911593,3.022,3.154,3.062,3.203
55,13.35,6.0042,911783,2.993,3.171,3.031,3.21
56,13.28,4.0168,911434,3.035,3.16,3.073,3.201
57,13.41,4.5365,912301,3.058,3.252,3.097,3.291
58,13.18,4.0164,909886,2.968,3.091,3.007,3.132
59,13.32,3.9863,914489,3.01,3.096,3.048,3.136
60,13.19,3.0771,916012,2.973,3.012,3.009,3.051
61,13.22,2.5354,917562,2.976,3.014,3.013,3.05
62,13.24,2.5893,916174,3.012,3.214,3.049,3.256
63,13.38,2.8468,914477,3.016,3.198,3.055,3.241
64,13.2,2.8472,914720,3.003,3.117,3.04,3.161
65,13.28,3.01,914749,2.993,3.094,3.03,3.132
66,13.31,4.1656,912888,3.005,3.112,3.041,3.148
67,13.44,3.4596,915050,2.993,3.125,3.033,3.169
68,13.31,2.6585,910583,3.03,3.147,3.07,3.195
69,13.25,2.3992,914429,3.017,3.171,3.055,3.209
70,13.33,2.7595,913252,3.009,3.212,3.049,3.256
71,13.32,2.2765,914535,3.014,3.112,3.051,3.152
72,13.26,2.4565,910731,2.992,3.12,3.029,3.157
73,13.23,2.6809,915308,2.97,3.016,3.006,3.052
74,13.24,2.8605,915329,2.978,3.041,3.016,3.081
75,13.44,2.8227,914094,3.051,3.225,3.09,3.264
76,13.35,2.7691,912803,3.028,3.251,3.067,3.294
77,13.25,2.4549,912476,2.993,3.082,3.031,3.123
78,13.26,2.5695,916329,3.033,3.17,3.071,3.212
79,13.37,2.5224,914104,3.029,3.193,3.07,3.243
80,13.33,2.134,911076,3.019,3.166,3.056,3.208
81,13.38,2.1614,910461,3.059,3.365,3.098,3.404
82,13.27,2.5768,914076,2.994,3.127,3.033,3.174
83,13.16,2.381,911712,2.972,3.098,3.009,3.135
84,13.26,2.7281,912782,3.0,3.129,3.038,3.173
85,13.27,1.9967,916293,3.011,3.175,3.049,3.214
86,13.3,2.0394,913508,3.024,3.173,3.062,3.211
87,13.15,2.5574,913753,2.964,3.004,3.0,3.041
88,13.31,2.1007,914749,2.991,3.185,3.029,3.229
89,13.32,2.6856,914310,2.993,3.12,3.032,3.163
90,13.36,2.7266,911956,3.006,3.162,3.045,3.204
91,13.29,2.7113,911407,3.017,3.144,3.056,3.183
92,13.22,1.8389,911740,2.978,3.03,3.015,3.07
93,13.26,1.4169,913334,2.982,3.081,3.019,3.125
94,13.15,1.7286,909835,2.984,3.09,3.02,3.131
95,13.09,2.3051,912870,2.993,3.077,3.031,3.115
96,13.36,2.0679,914423,3.032,3.181,3.07,3.219
97,13.21,1.6992,910774,3.016,3.151,3.054,3.19
98,13.43,1.8794,914361,3.058,3.232,3.099,3.272
99,13.2,1.892,913015,3.009,3.15,3.047,3.191
100,13.22,2.1524,913030,3.005,3.123,3.042,3.163
101,13.27,1.9048,914805,3.004,3.162,3.041,3.202
102,13.29,2.1984,913720,2.992,3.137,3.028,3.177
103,13.3,2.0264,914640,3.008,3.18,3.047,3.221
104,13.09,2.5781,917526,2.979,3.058,3.016,3.098
105,13.14,2.4396,912615,2.965,3.016,3.002,3.055
106,13.11,1.8345,917750,2.967,3.11,3.003,3.15
107,13.25,2.5888,915899,2.981,3.085,3.018,3.128
108,13.4,2.2951,919033,3.012,3.187,3.051,3.228
109,13.31,2.3938,912275,3.013,3.108,3.051,3.145
110,13.32,1.5373,911913,2.989,3.143,3.027,3.186
111,13.36,1.8109,915404,3.009,3.123,3.047,3.165
112,13.22,2.1257,911225,2.981,3.08,3.018,3.116
113,13.26,1.6022,913084,3.017,3.132,3.055,3.172
114,13.29,1.9442,913903,3.024,3.2,3.062,3.24
115,13.29,1.9478,915150,3.021,3.143,3.06,3.188
116,13.26,1.8625,916056,3.004,3.118,3.043,3.161
117,13.25,1.3928,916329,2.999,3.175,3.036,3.218
118,13.27,1.7011,915755,3.01,3.126,3.047,3.166
119,13.2,1.7138,916306,2.979,3.105,3.015,3.144
120,13.26,2.037,911336,2.994,3.156,3.032,3.2
121,13.22,2.0027,910999,2.992,3.03,3.03,3.068
122,13.26,1.9968,910702,2.995,3.129,3.033,3.172
123,13.28,2.508,911950,2.994,3.144,3.032,3.183
124,13.2,1.5906,912817,2.977,3.041,3.014,3.081
125,13.25,1.5959,912560,2.977,3.093,3.015,3.13
126,13.25,1.7728,911638,3.031,3.181,3.069,3.225
127,13.24,1.5241,915936,3.026,3.154,3.064,3.196
128,13.31,1.4433,916242,2.991,3.132,3.03,3.181
129,13.25,1.6471,913330,2.969,3.034,3.007,3.076
130,13.25,1.7694,913691,2.993,3.099,3.028,3.138
131,13.24,1.6212,911893,2.976,3.037,3.013,3.082
132,13.25,2.0365,914426,2.988,3.08,3.026,3.12
133,13.29,2.0073,911772,3.014,3.145,3.052,3.186
134,13.16,1.8077,916602,2.971,3.041,3.009,3.083
135,13.27,1.683,916682,2.983,3.104,3.02,3.142
136,13.26,2.2889,914655,2.994,3.13,3.033,3.17
137,13.31,1.6619,913776,3.031,3.185,3.069,3.228
138,13.32,1.5914,914099,3.052,3.297,3.091,3.342
139,13.24,2.6157,913653,3.013,3.147,3.052,3.191
