rank,device,category,start_seconds,stop_seconds,kernel_busy_seconds
0,0,all_kernels,0.0,0.25,0
0,0,all_kernels,0.25,0.5,0
0,0,all_kernels,0.5,0.75,0
0,0,all_kernels,0.75,1.0,0
0,0,all_kernels,1.0,1.25,0
0,0,all_kernels,1.25,1.5,0.05043924511719178
0,0,all_kernels,1.5,1.75,0.12358073144530302
0,0,all_kernels,1.75,2.0,0.15009487402343047
0,0,all_kernels,2.0,2.25,0.17189467382811063
0,0,all_kernels,2.25,2.5,0.13121013867189824
0,0,all_kernels,2.5,2.75,0.23480282324219193
0,0,all_kernels,2.75,3.0,0.21765005859375597
0,0,all_kernels,3.0,3.25,0.2330317802734423
0,0,all_kernels,3.25,3.5,0.247045470703124
0,0,all_kernels,3.5,3.75,0.2470614980468735
0,0,all_kernels,3.75,4.0,0.10042762890624823
0,0,all_kernels,4.0,4.25,0
0,0,all_kernels,4.25,4.5,0
0,0,all_kernels,4.5,4.75,0
0,0,all_kernels,4.75,5.0,0
0,0,all_kernels,5.0,5.25,0.11781229687500083
0,0,all_kernels,5.25,5.5,0.13871710937498793
0,0,all_kernels,5.5,5.75,0.17154513476561561
0,0,all_kernels,5.75,6.0,0.17172953124995072
0,0,all_kernels,6.0,6.25,0.16971003710935495
0,0,all_kernels,6.25,6.5,0.24536111328124743
0,0,all_kernels,6.5,6.75,0.2065286767578094
0,0,all_kernels,6.75,7.0,0.24709036425780173
0,0,all_kernels,7.0,7.25,0.2470633046875088
0,0,all_kernels,7.25,7.5,0.17197239550783117
0,0,all_kernels,7.5,7.75,0
0,0,all_kernels,7.75,8.0,0
0,0,all_kernels,8.0,8.25,0
0,0,all_kernels,8.25,8.5,0
0,0,all_kernels,8.5,8.75,0.0648933779296268
0,0,all_kernels,8.75,9.0,0.12489099218744748
0,0,all_kernels,9.0,9.25,0.16520833300788595
0,0,all_kernels,9.25,9.5,0.17248216992193832
0,0,all_kernels,9.5,9.75,0.13220680468756107
0,0,all_kernels,9.75,10.0,0.24712610156249326
0,0,all_kernels,10.0,10.25,0.20915502734375835
0,0,all_kernels,10.25,10.5,0.2426826601562322
0,0,all_kernels,10.5,10.75,0.24708799121092362
0,0,all_kernels,10.75,11.0,0.24711419531248602
0,0,all_kernels,11.0,11.25,0.08776687109371828
0,0,all_kernels,11.25,11.5,0
0,0,all_kernels,11.5,11.75,0
0,0,all_kernels,11.75,12.0,0
0,0,all_kernels,12.0,12.25,0.0013231679687581988
0,0,all_kernels,12.25,12.5,0.1278065703125062
0,0,all_kernels,12.5,12.75,0.1426230947265168
0,0,all_kernels,12.75,13.0,0.16733480175784265
0,0,all_kernels,13.0,13.25,0.1637881582031646
0,0,all_kernels,13.25,13.5,0.16641831835937992
0,0,all_kernels,13.5,13.75,0.2454569804687452
0,0,all_kernels,13.75,14.0,0.20737530664062653
0,0,all_kernels,14.0,14.25,0.24710622265622462
0,0,all_kernels,14.25,14.5,0.24702304101561445
0,0,all_kernels,14.5,14.75,0.14881242382813653
0,0,all_kernels,14.75,15.0,0
0,0,all_kernels,15.0,15.25,0
0,0,all_kernels,15.25,15.5,0
0,0,all_kernels,15.5,15.75,0
0,0,all_kernels,15.75,16.0,0
0,0,all_kernels,16.0,16.25,0.0963057499999529
0,0,all_kernels,16.25,16.5,0.13048383691391052
0,0,all_kernels,16.5,16.75,0.16606187988282883
0,0,all_kernels,16.75,17.0,0.1695218212889671
0,0,all_kernels,17.0,17.25,0.1453844599609191
0,0,all_kernels,17.25,17.5,0.24562706640623588
0,0,all_kernels,17.5,17.75,0.2052929287108327
0,0,all_kernels,17.75,18.0,0.24709823046869772
0,0,all_kernels,18.0,18.25,0.24691865136715663
0,0,all_kernels,18.25,18.5,0.24721612597654996
0,0,all_kernels,18.5,18.75,0.007203335937497002
0,0,all_kernels,18.75,19.0,0
0,0,all_kernels,19.0,19.25,0
0,0,all_kernels,19.25,19.5,0
0,0,all_kernels,19.5,19.75,0.020789087890559443
0,0,all_kernels,19.75,20.0,0.12290276074214646
0,0,all_kernels,20.0,20.25,0.15348384277333338
0,0,all_kernels,20.25,20.5,0.17118353124986996
