step,iteration_seconds,loss,tokens,vae_rank_mean_seconds,vae_rank_max_seconds,prepare_rank_mean_seconds,prepare_rank_max_seconds
52,13.33,4.5989,912072,2.996,3.07,3.034,3.107
53,13.35,4.9152,913777,3.025,3.169,3.066,3.214
54,13.35,3.6152,912379,3.03,3.159,3.069,3.202
55,13.22,4.3364,911860,2.972,3.021,3.01,3.06
56,13.19,4.3494,911592,2.993,3.138,3.031,3.179
57,13.34,3.916,911812,3.017,3.195,3.055,3.233
58,13.24,3.5305,910092,3.019,3.103,3.058,3.143
59,13.32,3.7989,914290,3.014,3.17,3.052,3.213
60,13.38,3.69,916130,3.023,3.163,3.062,3.203
61,13.22,2.4964,916158,3.023,3.171,3.061,3.216
62,13.32,2.6033,917487,3.005,3.095,3.045,3.132
63,13.29,2.6575,913570,3.037,3.183,3.077,3.226
64,13.33,2.6912,914264,3.029,3.303,3.067,3.345
65,13.26,2.8485,914925,3.01,3.122,3.049,3.165
66,13.4,4.7039,913078,3.028,3.286,3.067,3.33
67,13.11,3.172,914171,2.967,3.028,3.004,3.071
68,13.16,2.4848,913941,2.973,3.046,3.01,3.086
69,13.35,2.5579,912759,2.999,3.164,3.037,3.207
70,13.41,2.7462,913590,3.008,3.116,3.044,3.155
71,13.31,2.5396,913331,3.005,3.056,3.043,3.094
72,13.26,2.4437,912818,2.989,3.112,3.027,3.15
73,13.36,2.4808,915665,3.036,3.213,3.074,3.252
74,13.27,2.5423,914362,3.009,3.198,3.046,3.235
75,13.21,2.8103,913784,3.005,3.123,3.044,3.172
76,13.27,3.0545,912650,2.998,3.059,3.036,3.1
77,13.18,2.5297,913717,2.963,3.095,2.999,3.134
78,13.3,2.4089,915062,2.988,3.181,3.027,3.226
79,13.39,3.4986,913709,3.057,3.193,3.095,3.233
80,13.17,2.4155,910706,2.979,3.107,3.016,3.148
81,13.27,1.9497,911300,2.99,3.058,3.027,3.095
82,13.34,3.2739,914687,2.997,3.09,3.035,3.133
83,13.26,2.9184,912214,3.023,3.14,3.061,3.184
84,13.14,3.0778,912291,2.993,3.054,3.031,3.09
85,13.45,1.9486,916260,3.03,3.298,3.069,3.339
86,13.3,2.3847,913584,3.02,3.134,3.057,3.171
87,13.29,2.437,913127,2.976,3.071,3.014,3.109
88,13.36,2.056,915608,3.008,3.149,3.046,3.187
89,13.36,2.3497,913484,3.024,3.113,3.063,3.157
90,13.32,2.3669,913110,2.991,3.088,3.03,3.127
91,13.31,3.0362,910880,3.042,3.223,3.081,3.26
92,13.32,2.0766,911373,3.016,3.238,3.055,3.281
93,13.3,1.9709,913124,3.022,3.197,3.062,3.234
94,13.29,1.7485,910256,3.013,3.11,3.053,3.153
95,13.34,2.1351,911636,3.024,3.229,3.062,3.27
96,13.27,2.2534,914349,2.995,3.171,3.033,3.209
