arm,split,condition,seed,steps,sum_reward,max_reward,success
baseline,test,clean,100032,300,111.81922559279637,0.9658357011010859,False
robust,test,clean,100032,300,160.05249666009055,0.9916952448939448,False
baseline,test,clean,100033,300,139.0605353000853,0.949658918304147,False
robust,test,clean,100033,300,181.0202257971145,0.9241701545700451,False
baseline,test,clean,100034,300,0.0,0.0,False
robust,test,clean,100034,300,0.0,0.0,False
baseline,test,clean,100035,300,2.7125438851236057,0.02399338371905626,False
robust,test,clean,100035,300,64.17248250762181,0.40977742124378597,False
baseline,test,clean,100036,264,117.26242571736778,1.0,True
robust,test,clean,100036,300,184.74152598910896,0.9251921897460076,False
baseline,test,clean,100037,300,2.0710159568317263,0.08237230880949784,False
robust,test,clean,100037,300,179.0611088991895,0.8857578538136526,False
baseline,test,clean,100038,246,84.59883245046132,1.0,True
robust,test,clean,100038,300,49.37355275571211,0.2137690709835346,False
baseline,test,clean,100039,300,205.41417629561056,0.9867803328810756,False
robust,test,clean,100039,300,230.66406602256131,0.9497313563909175,False
baseline,test,clean,100040,300,8.686200978325255,0.045553745431293875,False
robust,test,clean,100040,267,188.1637047811356,1.0,True
baseline,test,clean,100041,300,200.1659421765574,0.9021625104729473,False
robust,test,clean,100041,300,198.37428993822374,0.9707581932497843,False
baseline,test,clean,100042,300,54.991829972243785,0.5690180106927932,False
robust,test,clean,100042,300,4.53815258741439,0.23704765015893506,False
baseline,test,clean,100043,300,64.74784726936386,0.3645229080308447,False
robust,test,clean,100043,202,63.51939423471065,1.0,True
baseline,test,clean,100044,300,121.03096145398645,0.9671986545185847,False
robust,test,clean,100044,300,183.26089037480568,0.944365201954803,False
baseline,test,clean,100045,300,48.17040319105665,0.4350623718660518,False
robust,test,clean,100045,300,0.0,0.0,False
baseline,test,clean,100046,300,0.0,0.0,False
robust,test,clean,100046,300,46.92913856276698,0.18978544389312788,False
baseline,test,clean,100047,214,139.00193163994777,1.0,True
robust,test,clean,100047,270,189.29335024022805,1.0,True
baseline,test,clean,100048,300,54.16571781713016,0.5444463367198756,False
robust,test,clean,100048,200,90.71805622395941,1.0,True
baseline,test,clean,100049,300,171.58198471727263,0.6529745532159883,False
robust,test,clean,100049,254,127.05002578928507,1.0,True
baseline,test,clean,100050,199,87.12748512222508,1.0,True
robust,test,clean,100050,251,156.61293141367852,1.0,True
baseline,test,clean,100051,300,3.0584826625547596,0.25914277992528395,False
robust,test,clean,100051,300,59.89818856317025,0.4406561238437123,False
baseline,test,clean,100052,300,202.20525585025587,0.9454046070906751,False
robust,test,clean,100052,300,230.74532403862116,0.9843126102207445,False
baseline,test,clean,100053,280,147.79723787626799,1.0,True
robust,test,clean,100053,300,104.07771146213176,0.8769548609556896,False
baseline,test,clean,100054,300,224.94144930483628,0.9900967462183204,False
robust,test,clean,100054,95,47.887819360729175,1.0,True
baseline,test,clean,100055,179,88.74090106735936,1.0,True
robust,test,clean,100055,230,111.84995138427236,1.0,True
baseline,test,clean,100056,300,60.58735606180536,0.23069560858032992,False
robust,test,clean,100056,300,57.80075858992993,0.5925271773322026,False
baseline,test,clean,100057,201,98.6942094320724,1.0,True
robust,test,clean,100057,199,133.48949877519186,1.0,True
baseline,test,clean,100058,300,49.48886503324024,0.2244991556461121,False
robust,test,clean,100058,300,67.34974669383362,0.2244991556461121,False
baseline,test,clean,100059,94,43.70049659291886,1.0,True
robust,test,clean,100059,67,27.132899451464482,1.0,True
baseline,test,clean,100060,300,0.0,0.0,False
robust,test,clean,100060,144,15.844622947077122,1.0,True
baseline,test,clean,100061,300,1.3740598719160921,0.156430716375916,False
robust,test,clean,100061,263,83.48937326630107,1.0,True
baseline,test,clean,100062,170,85.95578096885644,1.0,True
robust,test,clean,100062,250,154.71097683721462,1.0,True
baseline,test,clean,100063,300,177.4822994872246,0.9680268792867093,False
robust,test,clean,100063,207,78.94800767549728,1.0,True
baseline,test,clean,100064,261,86.74831910022209,1.0,True
robust,test,clean,100064,300,80.52930830161907,0.8324534653977422,False
baseline,test,clean,100065,300,141.62769938346437,0.5924404185995846,False
robust,test,clean,100065,300,171.40105276077497,0.7957159277340049,False
baseline,test,clean,100066,300,80.67293490927563,0.5441606490773214,False
robust,test,clean,100066,300,74.13265317601474,0.5307700380200749,False
baseline,test,clean,100067,300,178.07893996469718,0.9568313915391118,False
robust,test,clean,100067,192,75.45822652374831,1.0,True
baseline,test,clean,100068,300,162.9961739126854,0.9344405481663618,False
robust,test,clean,100068,199,78.00641921575289,1.0,True
baseline,test,clean,100069,300,206.30897081059246,0.992567629660869,False
robust,test,clean,100069,178,74.10859753707791,1.0,True
baseline,test,clean,100070,300,145.42715601491628,0.7201050709986353,False
robust,test,clean,100070,194,118.5445882827548,1.0,True
baseline,test,clean,100071,300,99.97357350609134,0.4995236762720771,False
robust,test,clean,100071,300,10.560181333730474,0.31041277384335725,False
baseline,test,clean,100072,128,44.01529973322304,1.0,True
robust,test,clean,100072,300,49.51681594026544,0.19445920894040522,False
baseline,test,clean,100073,205,87.67959571309143,1.0,True
robust,test,clean,100073,300,195.09175469456403,0.9860001630588422,False
baseline,test,clean,100074,300,0.0,0.0,False
robust,test,clean,100074,300,4.827933180510481,0.37601628184689706,False
baseline,test,clean,100075,300,98.76976099383955,0.5763546855784489,False
robust,test,clean,100075,220,120.53557047534562,1.0,True
baseline,test,clean,100076,134,17.826484052677984,1.0,True
robust,test,clean,100076,300,173.5846920528142,0.9694762959313131,False
baseline,test,clean,100077,300,216.68321876232835,0.8748501121435597,False
robust,test,clean,100077,119,74.70776768929613,1.0,True
baseline,test,clean,100078,300,99.0219129337324,0.6671276324501635,False
robust,test,clean,100078,238,92.15019696911676,1.0,True
baseline,test,clean,100079,300,63.40676985008275,0.9152898840852433,False
robust,test,clean,100079,300,203.86160997422482,0.9638660315854658,False
baseline,test,clean,100080,273,139.3576942813471,1.0,True
robust,test,clean,100080,263,141.26666339594257,1.0,True
baseline,test,clean,100081,300,57.80837923464844,0.4777199273084153,False
robust,test,clean,100081,300,93.73625682086393,0.45534414157588265,False
baseline,test,clean,100082,300,158.10539744746606,0.9942340017587004,False
robust,test,clean,100082,300,0.0,0.0,False
baseline,test,clean,100083,300,0.0,0.0,False
robust,test,clean,100083,300,0.0,0.0,False
